id,date,first_visit
1,2016-07-28,2016-07-28
1,2016-10-27,2016-07-28
1,2016-12-20,2016-07-28
1,2017-03-03,2016-07-28
1,2017-04-26,2016-07-28
1,2017-07-04,2016-07-28
1,2017-09-05,2016-07-28
1,2017-10-24,2016-07-28
1,2017-12-06,2016-07-28
1,2018-06-13,2016-07-28
1,2018-10-18,2016-07-28
1,2018-12-05,2016-07-28
1,2019-01-16,2016-07-28
1,2019-11-23,2016-07-28
1,2021-07-29,2016-07-28
1,2021-09-22,2016-07-28
1,2021-10-26,2016-07-28
2,2016-07-28,2016-07-28
2,2016-08-04,2016-07-28
2,2016-08-10,2016-07-28
2,2016-09-01,2016-07-28
2,2016-09-15,2016-07-28
2,2016-09-23,2016-07-28
2,2016-10-18,2016-07-28
2,2016-10-28,2016-07-28
2,2016-12-20,2016-07-28
2,2016-12-27,2016-07-28
2,2017-01-13,2016-07-28
2,2017-02-09,2016-07-28
2,2017-03-07,2016-07-28
2,2017-04-06,2016-07-28
2,2017-05-26,2016-07-28
2,2017-07-04,2016-07-28
2,2017-07-26,2016-07-28
2,2017-08-18,2016-07-28
2,2017-09-12,2016-07-28
2,2017-10-17,2016-07-28
2,2017-11-29,2016-07-28
2,2018-01-24,2016-07-28
2,2018-03-20,2016-07-28
2,2018-04-10,2016-07-28
2,2018-04-24,2016-07-28
2,2018-07-18,2016-07-28
2,2018-08-21,2016-07-28
2,2018-08-29,2016-07-28
2,2018-09-11,2016-07-28
2,2018-09-20,2016-07-28
2,2018-10-24,2016-07-28
2,2018-11-14,2016-07-28
2,2018-12-08,2016-07-28
2,2018-12-27,2016-07-28
2,2019-01-23,2016-07-28
2,2019-02-12,2016-07-28
2,2019-02-26,2016-07-28
2,2019-03-26,2016-07-28
2,2019-09-07,2016-07-28
2,2019-09-27,2016-07-28
2,2019-10-18,2016-07-28
2,2019-11-09,2016-07-28
2,2019-12-14,2016-07-28
2,2020-02-01,2016-07-28
2,2020-09-26,2016-07-28
2,2020-10-24,2016-07-28
2,2020-11-14,2016-07-28
2,2020-12-05,2016-07-28
2,2020-12-19,2016-07-28
2,2021-04-08,2016-07-28
2,2021-05-08,2016-07-28
2,2021-06-05,2016-07-28
2,2021-07-01,2016-07-28
2,2021-07-17,2016-07-28
2,2021-07-31,2016-07-28
2,2021-08-14,2016-07-28
2,2021-08-21,2016-07-28
2,2021-09-04,2016-07-28
2,2021-09-30,2016-07-28
2,2021-10-30,2016-07-28
2,2021-12-04,2016-07-28
2,2022-01-19,2016-07-28
2,2022-02-25,2016-07-28
2,2022-07-12,2016-07-28
3,2016-07-28,2016-07-28
3,2016-08-10,2016-07-28
3,2016-08-17,2016-07-28
3,2016-08-25,2016-07-28
3,2016-09-15,2016-07-28
3,2016-10-13,2016-07-28
3,2016-11-10,2016-07-28
3,2016-12-09,2016-07-28
3,2017-01-10,2016-07-28
3,2017-02-10,2016-07-28
3,2017-03-16,2016-07-28
3,2017-04-20,2016-07-28
3,2017-05-18,2016-07-28
3,2017-06-07,2016-07-28
3,2017-07-07,2016-07-28
3,2017-08-08,2016-07-28
3,2017-09-05,2016-07-28
3,2017-11-23,2016-07-28
3,2017-12-19,2016-07-28
3,2018-01-18,2016-07-28
3,2018-02-20,2016-07-28
3,2018-03-22,2016-07-28
3,2018-04-26,2016-07-28
3,2018-05-18,2016-07-28
3,2018-06-19,2016-07-28
3,2018-07-17,2016-07-28
3,2018-08-16,2016-07-28
3,2018-09-18,2016-07-28
3,2018-10-16,2016-07-28
3,2018-11-13,2016-07-28
3,2018-12-11,2016-07-28
3,2019-01-15,2016-07-28
3,2019-03-13,2016-07-28
3,2019-04-12,2016-07-28
3,2019-05-09,2016-07-28
3,2019-08-13,2016-07-28
3,2019-09-12,2016-07-28
3,2019-10-09,2016-07-28
3,2019-11-12,2016-07-28
3,2019-12-10,2016-07-28
3,2020-01-07,2016-07-28
3,2020-02-11,2016-07-28
3,2020-03-06,2016-07-28
3,2020-04-02,2016-07-28
3,2020-05-12,2016-07-28
3,2020-06-02,2016-07-28
3,2020-07-03,2016-07-28
3,2020-08-04,2016-07-28
3,2020-09-02,2016-07-28
3,2020-09-30,2016-07-28
3,2020-11-11,2016-07-28
3,2020-12-08,2016-07-28
3,2021-01-26,2016-07-28
3,2021-03-31,2016-07-28
3,2021-04-29,2016-07-28
3,2021-07-01,2016-07-28
3,2021-07-30,2016-07-28
3,2021-08-31,2016-07-28
3,2021-09-30,2016-07-28
3,2021-10-27,2016-07-28
3,2021-11-26,2016-07-28
3,2021-12-21,2016-07-28
3,2022-01-14,2016-07-28
3,2022-02-08,2016-07-28
3,2022-03-04,2016-07-28
3,2022-03-30,2016-07-28
4,2016-07-28,2016-07-28
4,2016-09-13,2016-07-28
4,2016-10-05,2016-07-28
4,2016-11-01,2016-07-28
4,2017-03-15,2016-07-28
5,2016-07-28,2016-07-28
5,2016-08-09,2016-07-28
6,2016-07-28,2016-07-28
6,2016-09-16,2016-07-28
6,2017-05-12,2016-07-28
7,2016-07-28,2016-07-28
7,2016-08-19,2016-07-28
8,2016-07-29,2016-07-29
8,2016-09-30,2016-07-29
8,2016-12-20,2016-07-29
9,2016-07-29,2016-07-29
9,2016-08-05,2016-07-29
9,2018-10-19,2016-07-29
9,2018-10-26,2016-07-29
9,2018-11-16,2016-07-29
9,2018-12-14,2016-07-29
9,2018-01-26,2016-07-29
9,2019-03-02,2016-07-29
9,2019-04-02,2016-07-29
